Character External ID,Character Internal ID,Stage ID,Internal Stage ID,CPU AI Type,ITEMS,Element ID,Status List,SFX ID,Name Tags,Music,Unnamed: 11,Unnamed: 12,Menus
,,166 [0A6]   // Jungle Japes (vs Team Donkey Kong),,,0xB0 // Bellossom (Kireihana),,,,WYRN,,,,
,,167 [0A7]   // Fountain of Dreams (vs Team Kirby),,,0xB1 // Electrode (Marumine),,,,BLOB,,,,
,,168 [0A8]   // Mushroom Kingdom II (vs Team Luigi),,,0xB2 // Lugia ,,,,,,,,
,,169 [0A9]   // Onett (vs Team Ness),,,0xB3 // Ho-oh,,,,,,,,
,,170 [0AA]   // Pokémon Stadium (vs Team Jigglypuff),,,0xB4 // Ditto (Metamon),,,,,,,,
,,171 [0AB]   // Icicle Mountain (Unused),,,0xB5 // Clefairy,,,,,,,,
,,172 [0AC]   // Pokémon Stadium (vs Team Pichu),,,0xB6 // Togepi,,,,,,,,
,,173 [0AD]   // Flat Zone (vs Team Game & Watch),,,0xB7 // Mew,,,,,,,,
,,174 [0AE]   // Mute City (vs Team Captain Falcon),,,0xB8 // Celebi,,,,,,,,
,,,,,0xB9 // Staryu (Hitodeman),,,,,,,,
,,CLASSIC FINAL,,,0xBA // Chansey,,,,,,,,
,,175 [0AF]   // Battlefield (No items) (vs Metal Character),,,0xBB // Porygon2,,,,,,,,
,,176 [0B0]   // Final Destination (No items) (vs Master Hand),,,0xBC // Cyndaquil (Hinoarashi),,,,,,,,
,,,,,0xBD // Marill,,,,,,,,
,,ALL-STAR,,,0xBE // Venusaur (Fushigibana),,,,,,,,
,,177 [0B1]   // Rainbow Cruise (vs Mario),,,,,,,,,,,
,,178 [0B2]   // Kongo Jungle (vs Donkey Kong),,,POKEMON RELATED,,,,,,,,
,,179 [0B3]   // Great Bay (vs Link),,,0xBF // Chicorita's Leaf,,,,,,,,
,,180 [0B4]   // Brinstar (vs Samus),,,0xC0 // Blastoise's Water,,,,,,,,
,,181 [0B5]   // Yoshi's Story (vs Yoshi),,,0xC1 // Weezing's Gas,,,,,,,,
,,182 [0B6]   // Green Greens (vs Kirby),,,0xC2 // Weezing's Gas,,,,,,,,
,,183 [0B7]   // Corneria (vs Fox),,,0xC3 // Charizard's Breath,,,,,,,,
,,184 [0B8]   // Pokémon Stadium (vs Pikachu),,,0xC4 // Charizard's Breath,,,,,,,,
,,185 [0B9]   // Mushroom Kingdom I (vs Luigi),,,0xC5 // Charizard's Breath,,,,,,,,
,,186 [0BA]   // Mute City (vs Captain Falcon),,,0xC6 // Charizard's Breath,,,,,,,,
,,187 [0BB]   // Onett (vs Ness),,,0xC7 // Mini-Unowns,,,,,,,,
,,188 [0BC]   // Poké Floats (vs Jigglypuff),,,0xC8 // Lugia's Aeroblast,,,,,,,,
,,189 [0BD]   // Icicle Mountain (vs Ice Climbers),,,0xC9 // Lugia's Aeroblast,,,,,,,,
,,190 [0BE]   // Princess Peach's Castle (vs Peach),,,0xCA // Lugia's Aeroblast,,,,,,,,
,,191 [0BF]   // Temple (vs Zelda),,,0xCB // Ho-Oh's Flame,,,,,,,,
,,192 [0C0]   // Fountain of Dreams (Emblem Music) (vs Marth),,,0xCC // Staryu's Star,,,,,,,,
,,193 [0C1]   // Battlefield (Poké Floats song) (vs Mewtwo),,,0xCD // Healing Egg,,,,,,,,
,,194 [0C2]   // Yoshi's Island (vs Bowser),,,0xCE // Cyndaquil's Fire,,,,,,,,
,,195 [0C3]   // Mushroom Kingdom II (Dr Mario Music) (vs Dr Mario),,,0xCF // ,,,,,,,,
,,196 [0C4]   // Jungle Japes (vs Young Link),,,,,,,,,,,
,,197 [0C5]   // Venom (vs Falco),,,MONSTERS 2,,,,,,,,
,,198 [0C6]   // Fourside (vs Pichu),,,0xD0 // Old Goomba (Old-Kuri),,,,,,,,
,,199 [0C7]   // Final Destination (Emblem Music) (vs Roy),,,0xD1 // Target (Mato),,,,,,,,
,,200 [0C8]   // Flat Zone (vs Team Game & Watch),,,0xD2 // Shyguy (Heiho),,,,,,,,
,,201 [0C9]   // Brinstar Depths (vs Gannondorf),,,0xD3 // Koopa(Green) (Nokonoko),,,,,,,,
,,,,,0xD4 // Koopa(Red) (PataPata),,,,,,,,
,,EVENT MATCH,,,0xD5 // Likelile,,,,,,,,
,,202 [0CA]   // Battlefield (Event #01) (Trouble King),,,0xD6 // Old Redead (old-lead) [invalid],,,,,,,,
,,203 [0CB]   // Temple (Event #18) (Link's Adventure),,,0xD7 // Old Octorok(old-octa) [invalid],,,,,,,,
,,204 [0CC]   // Princess Peach's Castle (Event #03) (Bomb-fest),,,0xD8 // Old Ottosea (old-otto),,,,,,,,
,,205 [0CD]   // Yoshi's Story (Event #04) (Dino-wrangling),,,0xD9 // White Bear (whitebea),,,,,,,,
,,206 [0CE]   // Onett (Event #05) (Spare Change),,,0xDA // Klap,,,,,,,,
,,207 [0CF]   // Fountain of Dreams (Event #06) (Kirbys on Parade),,,0xDB // Green Shell (zgshell),,,,,,,,
,,208 [0D0]   // Pokémon Stadium (Event #07) (Pokémon Battle),,,0xDC // Red Shell (green act) (zrshell),,,,,,,,
,,209 [0D1]   // Brinstar (Event #08) (Hot Date on Brinstar),,,,,,,,,,,
,,210 [0D2]   // Great Bay (Event #09) (Hide 'n' Sheik),,,STAGE SPECIFIC,,,,,,,,
,,211 [0D3]   // Yoshi's Island (Event #10) (All-Star Match 1-1 /vs Mario),,,0xDD // Tingle (on balloon),,,,,,,,
,,212 [0D4]   // Icicle Mountain (Event #11) (King of the Mountain),,,0xDE // [Invalid],,,,,,,,
,,"213 [0D5]   // Mute City (Event #12) (Seconds, Anyone?)",,,0xDF // [Invalid],,,,,,,,
,,214 [0D6]   // Rainbow Cruise  (Event #13) (Yoshi's Egg),,,0xE0 // [Invalid],,,,,,,,
,,215 [0D7]   // Goomba  (Event #14) (Trophy Tussle 1),,,0xE1 // Apple,,,,,,,,
,,216 [0D8]   // Battlefield (Event #37) (Legendary Pokemon),,,0xE2 // Healing Apple,,,,,,,,
,,217 [0D9]   // Corneria (Event #16) (Kirby's Air-raid),,,0xE3 // [Invalid],,,,,,,,
,,218 [0DA]   // Jungle Japes (F-Zero Music) (Event #17) (Bounty Hunters),,,0xE4 // [Invalid],,,,,,,,
,,219 [0DB]   // Kongo Jungle (Event #2) (Lord of the Jungle),,,0xE5 // [Invalid],,,,,,,,
,,220 [0DC]   // Final Destination (Event #19) (Peach's Peril),,,0xE6 // Tool (Flatzone),,,,,,,,
,,221 [0DD]   // Brinstar (Event #20) (All-Star Match 2-1 /vs Samus),,,0xE7 // [Invalid],,,,,,,,
,,222 [0DE]   // Princess Peach's Castle (Event #21) (Ice Breaker),,,0xE8 // [Invalid],,,,,,,,
,,223 [0DF]   // Mushroom Kingdom II (Event #22) (Super Mario 128),,,0xE9 // Birdo,,,,,,,,
,,224 [0E0]   // Brinstar Depths (Event #27) (Cold Armor),,,0xEA // Arwing Laser ,,,,,,,,
,,225 [0E1]   // Yoshi's Island (Event #24) (The Yoshi Herd),,,0xEB // Great Fox's Laser ,,,,,,,,
,,226 [0E2]   // Fourside (DK Rap) (Event #25) (Gargantuans),,,0xEC // Birdo's Egg,,,,,,,,
,,227 [0E3]   // Entei (Event #26) (Trophy Tussle 2),,,,,,,,,,,
,,228 [0E4]   // Venom (Event #23) (Slippy's Invention),,,,,,,,,,,
,,229 [0E5]   // Green Greens (Event #28) (Puffballs Unite),,,,,,,,,,,
,,230 [0E6]   // Temple (Great Bay music) (Event #29) (Triforce Gathering),,,,,,,,,,,
,,231 [0E7]   // Fountain of Dreams (Event #15) (Girl Power),,,,,,,,,,,
,,232 [0E8]   // Mushroom Kingdom I (Event #31) (Mario Bros. Madness),,,,,,,,,,,
,,233 [0E9]   // Corneria (Many Arwings) (Event #32) (Target Acquired),,,,,,,,,,,
,,234 [0EA]   // F  //Zero Adventure Stage (Event #33) (Lethal Marathon),,,,,,,,,,,
,,235 [0EB]   // Great Bay (Event #34) (Seven Years),,,,,,,,,,,
,,236 [0EC]   // Dream Land (Event #35) (Time for a Checkup),,,,,,,,,,,
,,237 [0ED]   // Fourside (Event #36) (Space Travelers 1-1),,,,,,,,,,,
,,238 [0EE]   // Fountain of Dreams (Event #30) (All-Star Match 3-1 /vs Kirby),,,,,,,,,,,
,,239 [0EF]   // Mushroom Kingdom II (Event #38) (Super Mario Bros. 2),,,,,,,,,,,
,,240 [0F0]   // Pokémon Stadium (Event #39) (Jigglypuff Live!),,,,,,,,,,,
,,241 [0F1]   // Temple (Emblem Music) (Event #40) (All-Star Match 4-1 /vs Marth),,,,,,,,,,,
,,242 [0F2]   // Temple (Emblem Music) (Event #41) (En Garde!),,,,,,,,,,,
,,243 [0F3]   // Poké Floats (Event #42) (Trouble King 2),,,,,,,,,,,
,,244 [0F4]   // Big Blue (Event #43) (Birds of Prey),,,,,,,,,,,
,,245 [0F5]   // Battlefield (Event #44) (Mewtwo Strikes!),,,,,,,,,,,
,,246 [0F6]   // Flat Zone (Event #45) (Game and Watch Forever!),,,,,,,,,,,
,,247 [0F7]   // Temple (Emblem Music) (Event #46) (Fire Emblem Pride),,,,,,,,,,,
,,248 [0F8]   // Majora's Mask (Event #47) (Trophy Tussle 3),,,,,,,,,,,
,,249 [0F9]   // Yoshi's Story (Event #48) (Pikachu and Pichu),,,,,,,,,,,
,,250 [0FA]   // Mushroom Kingdom I  (Event #49) (All-Star Match Deluxe 5-1 /vs Dr Mario),,,,,,,,,,,
,,251 [0FB]   // Final Destination (Final Destination Match) (Event #50),,,,,,,,,,,
,,252 [0FC]   // Final Destination (The Showdown) (Event #51),,,,,,,,,,,
,,253 [0FD]   // Jungle Japes (DK Rap) (Event #10) (All-Star Match 1-2 /vs DK),,,,,,,,,,,
,,254 [0FE]   // Yoshi's Story (Event #10) (All-Star Match 1-3 /vs Yoshi),,,,,,,,,,,
,,255 [0FF]   // Princess Peach's Castle (Event #10) (All-Star Match 1-4 /vs Peach),,,,,,,,,,,
,,256 [100]   // Rainbow Cruise (Event #10) (All-Star Match 1-5 /vs Bowser),,,,,,,,,,,
,,257 [101]   // Great Bay  (All-Star Match 2-2 /vs Link),,,,,,,,,,,
,,258 [102]   // Temple  (All-Star Match 2-3 /vs Zelda),,,,,,,,,,,
,,259 [103]   // Mute City (All-Star Match 2-4 /vs Captain Falcon),,,,,,,,,,,
,,260 [104]   // Corneria (All-Star Match 2-5 /vs Fox),,,,,,,,,,,
,,261 [105]   // Pokémon Stadium (All-Star Match 3-2 /vs Pikachu),,,,,,,,,,,
,,262 [106]   // Onett (All-Star Match 3-3 /vs Ness),,,,,,,,,,,
,,263 [107]   // Icicle Mountain (All-Star Match 3-4 /vs Ice Climbers),,,,,,,,,,,
,,264 [108]   // Mushroom Kingdom II (All-Star Match 4-2 /vs Luigi),,,,,,,,,,,
,,265 [109]   // Poké Floats (All-Star Match 4-3 /vs Jigglypuff),,,,,,,,,,,
,,266 [10A]   // Final Destination (All-Star Match 4-4 /vs Mewtwo),,,,,,,,,,,
,,267 [10B]   // Flat Zone (All-Star Match 4-5 /vs Mr Game & Watch),,,,,,,,,,,
,,268 [10C]   // Venom (All-Star Match Deluxe 5-2 /vs Falco),,,,,,,,,,,
,,269 [10D]   // Pokémon Stadium (All-Star Match Deluxe 5-3 /vs Pichu),,,,,,,,,,,
,,270 [10E]   // Great Bay (Saria's Song) (All-Star Match Deluxe 5-4 /vs Young Link),,,,,,,,,,,
,,271 [10F]   // Temple (Emblem Music) (All-Star Match Deluxe 5-5 /vs Roy),,,,,,,,,,,
,,272 [110]   // Final Destination (All-Star Match Deluxe 5-6 /vs Gannondorf),,,,,,,,,,,
,,273 [111]   // Battlefield (Event #36) (Space Travelers 1-2),,,,,,,,,,,
,,,,,,,,,,,,,
,,UNLOCKABLES,,,,,,,,,,,
,,274 [112]   // Pokémon Stadium //Unlocking Jigglypuff,,,,,,,,,,,
,,275 [113] // Final Destination //Unlocking Mewtwo,,,,,,,,,,,
,,276 [114]   // Mushroom Kingdom II //Unlocking Luigi,,,,,,,,,,,
,,277 [115]   // Fountain of Dreams //Unlocking Marth,,,,,,,,,,,
,,278 [116]   // Flat Zone //Unlocking Mr Game and Watch,,,,,,,,,,,
,,279 [117]   // Princess Peach's Castle (DR Mario song) //Unlocking Dr Mario,,,,,,,,,,,
,,280 [118]   // Final Destination (Great Bay music) //Unlocking Gannondorf,,,,,,,,,,,
,,281 [119]   // Great Bay (Saria's Song) //Unlocking Young Link,,,,,,,,,,,
,,282 [11A]   // Battlefield (Corneria Music) //Unlocking Falco,,,,,,,,,,,
,,283 [11B]   // Pokémon Stadium //Unlocking Pichu?,,,,,,,,,,,
,,284 [11C]   // Temple (Emblem Music) //Unlocking Roy?,,,,,,,,,,,
,,,,,,,,,,,,,
,,MULTI-MAN MELEE,,,,,,,,,,,
,,285 [11D]   // Battlefield (Multi-Man Melee),,,,,,,,,,,
